County,Sub_County,Total,Male,Female,Intersex,SQ.Km,Pop_density,
Mombasa,CHANGAMWE,131882,68761,63121,0,18,7457
Mombasa,JOMVU,163415,83002,80410,3,37,4432
Mombasa,KISAUNI,291930,146748,145176,6,88,3328
Mombasa,LIKONI,250358,126962,123392,4,40,6187
Mombasa,MVITA,154171,75565,78601,5,15,10543
Mombasa,NYALI,216577,109219,107346,12,23,9610
Kwale,KINANGO,94220,45413,48806,1,1612,58
Kwale,LUNGA LUNGA,198423,97174,101245,4,2765,72
Kwale,MATUGA,194252,95831,98419,2,1034,188
Kwale,MSAMBWENI,177690,89206,88480,4,412,432
Kwale,SAMBURU,202235,97497,104731,7,2430,83
Kilifi,CHONYI,62335,29527,32807,1,193,324
Kilifi,GANZE,143906,66921,76981,4,3218,45
Kilifi,KALOLENI,193682,92614,101063,5,706,274
Kilifi,KAUMA,22638,10965,11673,0,181,125
Kilifi,KILIFI NORTH,178824,86986,91836,2,264,676
Kilifi,KILIFI SOUTH,206753,101852,104897,4,290,712
Kilifi,MAGARINI,191610,93302,98308,0,5229,37
Kilifi,MALINDI,333226,163351,169866,9,2263,147
Kilifi,RABAI,120813,58571,62242,0,208,581
Tana River,TANA NORTH,116757,59123,57632,0,13305,9
Tana River,TANA DELTA,110640,55716,54924,2,15432,7
Tana River,TANA RIVER,88546,43711,44835,0,9167,10
Lamu,LAMU EAST,22258,11675,10583,0,2338,10
Lamu,LAMU WEST,121662,64428,57230,4,3945,31
Taita Taveta,MWATATE,81659,41426,40231,2,2723,30
Taita Taveta,TAITA,55959,28386,27573,0,478,117
Taita Taveta,TAVETA,91222,47410,43812,0,6399,14
Taita Taveta,VOI,111831,56115,55711,5,7553,15
Garissa,BALAMBALA,32257,20277,11979,1,3684,9
Garissa,DADAAB,185252,99059,86185,8,6415,29
Garissa,FAFI,134040,72617,61413,10,15050,9
Garissa,GARISSA,163914,83460,80449,5,3318,49
Garissa,HULUGHO,133984,78081,55898,5,7737,17
Garissa,IJARA,141591,80458,61129,4,2453,58
Garissa,LAGDERA,50315,25023,25291,1,6096,8
Wajir,BUNA,49886,26796,23088,2,3888,13
Wajir,ELDAS,89104,45028,44069,7,4492,20
Wajir,HABASWEIN,174134,94613,79505,16,10912,16
Wajir,TARBAJ,56637,26856,29776,5,9608,6
Wajir,WAJIR EAST,110654,59359,51292,3,4053,27
Wajir,WAJIR NORTH,62206,31990,30209,7,4042,15
Wajir,WAJIR SOUTH,116814,64947,51864,3,10734,11
Wajir,WAJIR WEST,121828,65785,56037,6,9044,13
Mandera,MANDERA WEST,98300,48166,50130,4,4018,24
Mandera,BANISA,152598,78301,74288,9,3944,39
Mandera,KOTULO,72394,35799,36593,2,2509,29
Mandera,LAFEY,83457,40476,42976,5,3795,22
Mandera,MANDERA  CENTRAL,157220,71688,85527,5,4032,39
Mandera,MANDERA EAST,159638,83538,76095,5,2506,64
Mandera,MANDERA NORTH,143850,77008,66835,7,5138,28
Marsabit,LOIYANGALANI,35713,17659,18051,3,11789,3
Marsabit,MARSABIT  CENTRAL,79181,40956,38214,11,2143,37
Marsabit,MARSABIT NORTH,54297,30091,24205,1,19837,3
Marsabit,MARSABIT SOUTH,65376,33215,32161,0,8447,8
Marsabit,MOYALE,108949,56440,52508,1,3327,33
Marsabit,NORTH HORR,71447,41719,29726,2,19337,4
Marsabit,SOLOLO,44822,23468,21354,0,6064,7
Isiolo,GARBATULLA,99730,54661,45068,1,9902,10
Isiolo,ISIOLO,121066,60414,60647,5,2691,45
Isiolo,MERTI,47206,24435,22768,3,12756,4
Meru,BUURI EAST,76598,38101,38497,0,333,230
Meru,BUURI WEST,80762,40496,40264,2,639,126
