county_code,county,total,male,female,intersex,total_households,conventional_households,group_quaters,land_area_sq_km,persons_per_sq_km,total_rural,male_rural,female_rural,intersex_rural,total_households_rural,conventional_households_rural,group_quaters_rural,land_area_sq_km_rural,persons_per_sq_km_rural,total_urban,male_urban,female_urban,intersex_urban,total_households_urban,conventional_households_urban,group_quaters_urban,land_area_sq_km_urban,persons_per_sq_km_urban
1,MOMBASA,"1,208,333","610,257","598,046",3 0,"378,422","376,295","2,127",220,"5 ,495",,,,,,,,,,1208333,610257,598046,3 0,378422,376295,2127,220,5495
2,KWALE,"866,820","425,121","441,681",1 8,"173,176","172,802",374,"8,254",105,"740,389",362726,377650,13,136171,135892,279,"6 4,1922",90,126431,62395,64031,5,37005,36910,9 5,63,2014
3,KILIFI,"1,453,787","704,089","749,673",2 5,"298,472","297,990",482,"12,553",116,59899,512765,547115,19,185754,185387,367,"1 2,0384",86,393888,191324,202558,6,112718,112603,1 15,169,2325
4,TANA RIVER,"315,943","158,550","157,391",2,"68,242","66,984","1,258","37,904",8,240221,120696,119524,1,48345,47670,675,-433111,6,75722,37854,37867,1,19897,19314,5 83,189,4 00
5,LAMU,"143,920","76,103","67,813",4,"37,963","34,231","3,732","6,283",23,105474,56570,48902,2,27749,24161,"3 ,588","1 5,1917",17,38446,19533,18911,2,10214,10070,1 44,68,5 67
6,TAITA/TAVETA,"340,671","173,337","167,327",7,"96,429","94,468","1,961","17,152",20,246897,126717,120178,2,66940,65015,"1 ,925","1 7,1939",14,93774,46620,47149,5,29489,29453,3 6,113,8 28
7,GARISSA,"841,353","458,975","382,344",3 4,"141,394","138,940","2,454","44,753",19,630463,349423,281013,27,103697,102003,"1 ,694","4 4,0577",14,210890,109552,101331,7,37697,36937,7 60,176,1199
8,WAJIR,"781,263","415,374","365,840",4 9,"127,932","126,878","1,054","56,774",14,604089,320562,283500,27,97276,96882,394,"5 6,0398",11,177174,94812,82340,2 2,30656,29996,6 60,376,4 72
9,MANDERA,"867,457","434,976","432,444",3 7,"125,763","123,954","1,809","25,942",33,596990,299428,297535,27,85481,84728,753,-411591,23,270467,135548,134909,1 0,40282,39226,1056,170,1595
10,MARSABIT,"459,785","243,548","216,219",1 8,"77,495","76,689",806,"70,944",6,352546,188758,163772,16,57004,56465,539,"7 0,808",5,107239,54790,52447,2,20491,20224,2 67,136,7 86
11,ISIOLO,"268,002","139,510","128,483",9,"58,072","53,217","4,855","25,349",11,"142,333",76435,65894,4,28824,25352,"3 ,472",-405018,6,125669,63075,62589,5,29248,27865,1383,558,2 25
12,MERU,"1,545,714","767,698","777,975",4 1,"426,360","423,931","2,429","7,014",220,406796,699532,707228,36,375450,373302,"2 ,148",6971,202,138918,68166,70747,5,50910,50629,2 81,43,3249
13,THARAKA-NITHI,"393,177","193,764","199,406",7,"109,860","109,450",410,"2,564",153,360434,177716,182712,6,97949,97614,335,2539,142,32743,16048,16694,1,11911,11836,7 5,25,1316
14,EMBU,"608,599","304,208","304,367",2 4,"182,743","182,427",316,"2,821",216,"532,675",267126,265534,15,154594,154301,293,2778,192,75924,37082,38833,9,28149,28126,2 3,42,1800
15,KITUI,"1,136,187","549,003","587,151",3 3,"262,942","261,814","1,128","30,430",37,"82,168",522943,559193,32,243692,242607,"1 ,085","3 0,406",36,54019,26060,27958,1,19250,19207,4 3,24,2292
16,MACHAKOS,"1,421,932","710,707","711,191",3 4,"402,466","399,523","2,943","6,037",236,7854,504247,503582,25,259497,256809,"2 ,688",5794,174,414078,206460,207609,9,142969,142714,2 55,243,1703
17,MAKUENI,"987,653","489,691","497,942",2 0,"244,669","243,979",690,"8,177",121,910577,450482,460075,20,217610,217052,558,8111,112,77076,39209,37867,-,27059,26927,1 32,65,1177
18,NYANDARUA,"638,289","315,022","323,247",2 0,"179,686","178,224","1,462","3,286",194,571754,282499,289240,15,156437,155007,"1 ,430",3241,176,66535,32523,34007,5,23249,23217,3 2,45,1473
19,NYERI,"759,164","374,288","384,845",3 1,"248,050","244,564","3,486","3,325",228,608409,300893,307488,28,190313,189091,"1 ,222",3243,188,150755,73395,77357,3,57737,55473,2264,82,1843
20,KIRINYAGA,"610,411","302,011","308,369",3 1,"204,188","203,576",612,"1,478",413,474187,237086,237083,18,154644,154255,389,1395,340,136224,64925,71286,1 3,49544,49321,2 23,84,1631
21,MURANG'A,"1,056,640","523,940","532,669",3 1,"318,105","317,496",609,"2,523",419,938213,467062,471121,30,276508,276037,471,2452,383,118427,56878,61548,1,41597,41459,1 38,71,1678
22,KIAMBU,"2,417,735","1,187,146","1,230,454",135,"795,241","792,333","2,908","2,539",952,711450,355557,355866,27,207710,207550,160,"11 10,1904",401,1706285,831589,874588,01 08,587531,584783,2748,763,2237
23,TURKANA,"926,976","478,087","448,868",2 1,"164,519","162,627","1,892","68,233",14,786185,406490,379675,20,133899,132634,"1 ,265",-328924,12,140791,71597,69193,1,30620,29993,6 27,234,06 01
24,WEST POKOT,"621,241","307,013","314,213",1 5,"116,182","115,761",421,"9,123",68,589400,291469,297916,15,107572,107166,406,"12 5,1924",65,31841,15544,16297,-,8610,8595,1 5,17,1850
25,SAMBURU,"310,327","156,774","153,546",7,"65,910","63,951","1,959","21,090",15,263195,133058,130130,7,53120,51458,"1 ,662",12816,13,47132,23716,23416,-,12790,12493,2 97,54,8 69
26,TRANS NZOIA,"990,341","489,107","501,206",2 8,"223,808","222,989",819,"2,495",397,811607,400606,410978,23,174249,173578,671,2386,340,178734,88501,90228,5,49559,49411,1 48,109,1635
27,UASIN GISHU,"1,163,186","580,269","582,889",2 8,"304,943","301,110","3,833","3,399",342,652981,326269,326700,12,143434,139957,"3 ,477",3093,211,510205,254000,256189,1 6,161509,161153,3 56,305,1670
28,ELGEYO/MARAKWET,"454,480","227,317","227,151",1 2,"99,861","99,119",742,"3,032",150,433901,217344,216548,9,93720,93023,697,3021,144,20579,9973,10603,3,6141,6096,4 5,11,1894
29,NANDI,"885,711","441,259","444,430",2 2,"199,426","199,040",386,"2,849",311,826232,411715,414497,20,180826,180511,315,2809,294,59479,29544,29933,2,18600,18529,7 1,41,1457
